Gene_Human	d0_183	d0_184	d7_192	d7_193
RPL5	369.827918	323.0400076	84.97302124	114.9450356
PCMTD2	10.5071343	8.789940907	2.920382091	2.568799445
PSMD9	37.20965281	25.5897707	10.45769836	6.924964021
CLEC2D	35.4669619	12.50212853	7.500706231	5.136162573
SLC4A7	12.93209329	8.163633327	3.190784189	2.556165137
ANKRD10	18.84184853	9.789174195	3.797569517	3.767329842
DCLRE1A	27.08530006	9.257023083	4.888553433	4.405923266
MS4A1	44.82217117	62.07880468	10.95105582	18.27123494
1-Sep	44.82894853	19.79703945	9.201147476	7.096901436
OMA1	19.08673326	15.10878533	5.715864341	3.203462454
ZKSCAN1	9.166924136	6.342650097	2.243750788	1.718245685
HLA-DRA	376.1540499	684.203481	121.9583294	162.628334
CPVL	35.90602884	30.43851998	9.914564771	6.793714014
NOSTRIN	225.3911123	247.9774188	61.63685757	59.23970894
SLC25A38	56.25552094	32.60871134	14.15384532	7.242207995
PRPF18	153.1600354	75.85727829	32.79462133	21.53671185
STRADB	72.48574992	82.4730265	19.46023317	19.35693725
TOB2	41.7501164	16.24209666	5.699267755	7.291822234
BNIP3L	5518.786172	2028.681697	863.5134979	815.3670137
MCM6	8.540040287	11.78936998	2.307438219	2.535074045
RNF141	10.6226289	6.901979929	1.732545772	2.079796936
UBASH3A	16.93131948	7.921505249	2.857674954	2.42075618
ABCA2	12.9692086	13.49885488	2.194516627	3.60611021
APBB3	6.245777811	7.694537145	1.683401444	1.414515357
FCMR	50.07603334	30.01035999	8.141993876	8.725366562
SLFN14	81.62168648	34.38783141	14.5934901	9.205440712
AHSP	48.0076583	119.3136388	18.91975517	18.92465223
ING5	12.52702277	6.608244136	1.553870494	2.264388475
MT-ND5	183.3487518	278.8536709	37.4393269	60.73483897
CD8B	25.6435389	5.716833334	2.234443989	3.414513116
BTBD6	19.67561665	7.539914581	1.890673735	3.027734564
CD79B	10.66547529	21.83593425	3.176062526	3.08462146
CD1C	19.79400175	23.06909783	4.356526525	3.577470927
NUP85	12.84261297	17.76819827	2.145235215	3.486140705
GPR18	16.98762972	6.933473113	1.272338301	2.621196221
ARL4A	93.01944178	27.48795276	12.37572465	6.544039243
MATK	16.17986865	3.421721877	1.972371903	0.955064212
GZMK	6.823423871	15.73147392	3.253671491	0.640076356
KLRG1	30.44772432	3.895528893	2.596821614	1.975317606
BLVRA	12.70717293	12.39443766	1.910270721	1.581983028
AL136454.1	312.1553907	329.6346656	47.58252754	40.34945703
HLA-DQB1	28.94669394	15.20887337	0.297476279	4.90274448
CD52	193.4631452	1502.837879	99.79988533	100.565279
MT-CO1	37.50052796	432.027797	20.42090572	20.64350223
APOD	2.050276969	43.44897909	1.246985435	0.926309763
